34	영등포구갑	11	서울특별시	영등포본동;영등포동;당산제1동;당산제2동;도림동;문래동;양평제1동;양평제2동;신길제3동	1119073;1119074;1119055;1119056;1119075;1119076;1119061;1119062;1119065
35	영등포구을	11	서울특별시	여의동;신길제1동;신길제4동;신길제5동;신길제6동;신길제7동;대림제1동;대림제2동;대림제3동	1119054;1119063;1119066;1119067;1119068;1119069;1119070;1119071;1119072
36	동작구갑	11	서울특별시	노량진제1동;노량진제2동;상도제2동;상도제3동;상도제4동;대방동;신대방제1동;신대방제2동	1120072;1120052;1120054;1120055;1120056;1120068;1120069;1120070
37	동작구을	11	서울특별시	상도제1동;흑석동;사당제1동;사당제2동;사당제3동;사당제4동;사당제5동	1120053;1120071;1120063;1120073;1120065;1120066;1120067
38	관악구갑	11	서울특별시	보라매동;은천동;성현동;중앙동;청림동;행운동;청룡동;낙성대동;인헌동;남현동;신림동	1121052;1121078;1121079;1121061;1121054;1121057;1121080;1121058;1121062;1121063;1121069
39	관악구을	11	서울특별시	신사동;조원동;미성동;난곡동;난향동;서원동;신원동;서림동;삼성동;대학동	1121068;1121072;1121083;1121081;1121071;1121064;1121065;1121066;1121082;1121073
40	서초구갑	11	서울특별시	잠원동;반포본동;반포1동;반포2동;반포3동;반포4동;방배본동;방배1동;방배4동	1122055;1122056;1122057;1122058;1122059;1122060;1122061;1122062;1122065
41	서초구을	11	서울특별시	서초1동;서초2동;서초3동;서초4동;방배2동;방배3동;양재1동;양재2동;내곡동	1122051;1122052;1122053;1122054;1122063;1122064;1122066;1122067;1122068
42	강남구갑	11	서울특별시	신사동;논현1동;논현2동;압구정동;청담동;역삼1동;역삼2동	1123051;1123052;1123053;1123077;1123078;1123064;1123065
43	강남구을	11	서울특별시	개포1동;개포2동;개포4동;세곡동;일원본동;일원1동;일원2동;수서동	1123068;1123080;1123071;1123076;1123072;1123073;1123074;1123075
44	강남구병	11	서울특별시	삼성1동;삼성2동;대치1동;대치2동;대치4동;도곡1동;도곡2동	1123058;1123059;1123060;1123079;1123063;1123066;1123067
45	송파구갑	11	서울특별시	풍납1동;풍납2동;방이1동;방이2동;오륜동;송파1동;송파2동;잠실4동;잠실6동	1124051;1124052;1124057;1124058;1124059;1124061;1124062;1124075;1124077
46	송파구을	11	서울특별시	석촌동;삼전동;가락1동;문정2동;잠실본동;잠실2동;잠실3동;잠실7동	1124063;1124064;1124066;1124069;1124071;1124079;1124080;1124078
47	송파구병	11	서울특별시	거여1동;거여2동;마천1동;마천2동;오금동;가락본동;가락2동;문정1동;장지동;위례동	1124053;1124054;1124055;1124056;1124060;1124065;1124067;1124068;1124070;1124070
48	강동구갑	11	서울특별시	강일동;상일동;명일제1동;명일제2동;고덕제1동;고덕제2동;암사제1동;암사제2동;암사제3동;길동	1125051;1125052;1125053;1125054;1125055;1125056;1125072;1125058;1125059;1125074
49	강동구을	11	서울특별시	천호제1동;천호제2동;천호제3동;성내제1동;성내제2동;성내제3동;둔촌제1동;둔촌제2동	1125061;1125073;1125063;1125065;1125066;1125067;1125070;1125071
50	중구영도구	21	부산광역시	중구 일원;영도구 일원	21010;21040
51	서구동구	21	부산광역시	서구 일원;동구 일원	21020;21030
52	부산진구갑	21	부산광역시	부전제1동;연지동;초읍동;양정제1동;양정제2동;부암제1동;부암제3동;당감제1동;당감제2동;당감제4동	2105053;2105051;2105054;2105055;2105056;2105057;2105064;2105066;2105080;2105068;2105070
53	부산진구을	21	부산광역시	부전제2동;전포제1동;전포제2동;가야제1동;가야제2동;개금제1동;개금제2동;개금제3동;범천제1동;범천제2동	2105052;2105060;2105062;2105061;2105081;2105072;2105074;2105075;2105076;2105077;2105078;2105079
